ip.src,ip.dst,tcp.srcport
192.168.18.4,192.168.18.1,62452
192.168.18.4,142.250.185.4,53480
192.168.18.4,192.168.18.1,53673
192.168.18.4,192.168.18.1,57189
192.168.18.4,192.168.18.1,52290
192.168.18.4,192.168.18.1,60685
192.168.18.4,142.250.200.110,63375
192.168.18.4,192.168.18.1,56189
192.168.18.4,192.168.18.1,59823
192.168.18.4,192.168.18.1,52442
192.168.18.4,192.168.18.1,51550
192.168.18.4,192.168.18.1,54001
192.168.18.4,192.168.18.1,61542
192.168.18.4,192.168.18.1,53159
192.168.18.4,192.168.18.1,58225
192.168.18.4,192.168.18.1,64936
192.168.18.4,192.168.18.1,56182
192.168.18.4,18.154.48.42,54955
192.168.18.4,18.154.48.42,53158
192.168.18.4,192.168.18.1,62331
192.168.18.4,192.168.18.1,56046
192.168.18.4,13.224.83.31,63346
192.168.18.4,192.168.18.1,60410
192.168.18.4,192.168.18.1,55374
192.168.18.4,13.224.83.31,64847
192.168.18.4,192.168.18.1,61654
192.168.18.4,192.168.18.1,58110
192.168.18.4,192.168.18.1,61697
192.168.18.4,192.168.18.1,55957
192.168.18.4,192.168.18.1,65183
192.168.18.4,192.168.18.1,64811
192.168.18.4,142.250.184.168,55782
192.168.18.4,108.157.113.113,57902
192.168.18.4,192.168.18.1,51037
192.168.18.4,192.168.18.1,63472
192.168.18.4,178.250.7.137,58677
192.168.18.4,192.168.18.1,56874
192.168.18.4,192.168.18.1,59246
192.168.18.4,108.157.113.113,54318
192.168.18.4,178.250.7.48,50400
192.168.18.4,172.217.171.202,52728
192.168.18.4,192.168.18.1,57065
192.168.18.4,192.168.18.1,53761
192.168.18.4,192.168.18.1,58044
192.168.18.4,192.168.18.1,52021
192.168.18.4,192.168.18.1,56121
192.168.18.4,192.168.18.1,60364
192.168.18.4,13.224.83.42,50744
192.168.18.4,192.168.18.1,50537
192.168.18.4,192.168.18.1,52404
192.168.18.4,108.177.15.155,63970
192.168.18.4,216.239.34.36,55890
192.168.18.4,142.250.184.14,54227
192.168.18.4,192.168.18.1,53193
192.168.18.4,192.168.18.1,60311
192.168.18.4,142.250.200.142,50578
192.168.18.4,142.250.200.142,50362
192.168.18.4,142.250.200.142,53983
192.168.18.4,192.168.18.1,62455
192.168.18.4,192.168.18.1,55117
192.168.18.4,192.168.18.1,59841
192.168.18.4,192.168.18.1,54560
192.168.18.4,192.168.18.1,52762
192.168.18.4,192.168.18.1,64719
192.168.18.4,192.168.18.1,51788
192.168.18.4,192.168.18.1,61292
192.168.18.4,172.64.147.249,49558
192.168.18.4,216.58.209.67,63567
192.168.18.4,142.250.200.118,55839
192.168.18.4,192.168.18.1,49603
192.168.18.4,192.168.18.1,62105
192.168.18.4,192.168.18.1,65177
192.168.18.4,192.168.18.1,59167
192.168.18.4,142.250.200.106,52714
192.168.18.4,192.168.18.1,64811
192.168.18.4,192.168.18.1,61462
192.168.18.4,142.251.140.225,55330
192.168.18.4,185.89.211.84,51415
192.168.18.4,192.168.18.1,59743
192.168.18.4,192.168.18.1,58567
192.168.18.4,192.168.18.1,63639
192.168.18.4,192.168.18.1,56798
192.168.18.4,192.168.18.1,62764
192.168.18.4,192.168.18.1,51301
192.168.18.4,18.154.20.154,52598
192.168.18.4,192.168.18.1,58430
192.168.18.4,192.168.18.1,60384
192.168.18.4,192.168.18.1,54580
192.168.18.4,192.168.18.1,57761
192.168.18.4,192.168.18.1,62063
192.168.18.4,192.168.18.1,52508
192.168.18.4,192.168.18.1,62692
192.168.18.4,192.168.18.1,57720
192.168.18.4,192.168.18.1,60874
192.168.18.4,192.168.18.1,57095
192.168.18.4,172.217.168.162,56226
192.168.18.4,104.20.24.176,53893
192.168.18.4,195.8.215.160,52345
192.168.18.4,188.65.124.58,59822
192.168.18.4,18.154.20.154,60922
192.168.18.4,192.168.18.1,53571
192.168.18.4,192.168.18.1,55010
192.168.18.4,172.66.151.12,63381
192.168.18.4,172.66.151.12,64710
192.168.18.4,192.168.18.1,55396
192.168.18.4,192.168.18.1,54751
192.168.18.4,192.168.18.1,53629
192.168.18.4,192.168.18.1,57471
192.168.18.4,184.24.3.46,65151
192.168.18.4,13.224.83.11,62364
192.168.18.4,192.168.18.1,50491
192.168.18.4,192.168.18.1,58111
192.168.18.4,192.168.18.1,56899
192.168.18.4,192.168.18.1,52786
192.168.18.4,192.168.18.1,55837
192.168.18.4,192.168.18.1,58697
192.168.18.4,192.168.18.1,55845
192.168.18.4,192.168.18.1,64684
192.168.18.4,172.66.169.55,60942
192.168.18.4,142.250.184.163,56729
192.168.18.4,108.157.98.24,56598
192.168.18.4,108.157.98.24,65370
192.168.18.4,192.168.18.1,53733
192.168.18.4,192.168.18.1,56827
192.168.18.4,52.222.132.44,53413
192.168.18.4,192.168.18.1,63091
192.168.18.4,192.168.18.1,58396
192.168.18.4,192.168.18.1,58017
192.168.18.4,192.168.18.1,55659
192.168.18.4,141.95.98.65,62646
192.168.18.4,192.168.18.1,65148
192.168.18.4,192.168.18.1,56955
192.168.18.4,192.168.18.1,51659
192.168.18.4,192.168.18.1,64880
192.168.18.4,104.20.20.189,63775
192.168.18.4,54.191.74.144,60172
192.168.18.4,108.157.128.57,63259
192.168.18.4,192.168.18.1,57426
192.168.18.4,192.168.18.1,49559
192.168.18.4,192.168.18.1,51136
192.168.18.4,192.168.18.1,53933
192.168.18.4,192.168.18.1,64858
192.168.18.4,192.168.18.1,52150
192.168.18.4,192.168.18.1,57259
192.168.18.4,192.168.18.1,61170
192.168.18.4,172.66.148.140,54587
192.168.18.4,172.66.148.140,63655
192.168.18.4,172.66.171.133,49972
192.168.18.4,192.168.18.1,65004
192.168.18.4,192.168.18.1,54821
192.168.18.4,192.168.18.1,57728
192.168.18.4,192.168.18.1,58856
192.168.18.4,192.168.18.1,57425
192.168.18.4,192.168.18.1,59088
192.168.18.4,192.168.18.1,54153
192.168.18.4,192.168.18.1,54784
192.168.18.4,142.250.200.110,53203
192.168.18.4,192.168.18.1,52234
192.168.18.4,192.168.18.1,55886
192.168.18.4,192.168.18.1,60610
192.168.18.4,192.168.18.1,62024
192.168.18.4,130.211.23.194,64864
192.168.18.4,192.168.18.1,57118
192.168.18.4,192.168.18.1,59491
192.168.18.4,216.58.213.74,56826
192.168.18.4,108.157.113.103,53004
192.168.18.4,192.168.18.1,49600
192.168.18.4,192.168.18.1,52922
192.168.18.4,192.168.18.1,61566
192.168.18.4,192.168.18.1,52429
192.168.18.4,192.168.18.1,50614
192.168.18.4,192.168.18.1,58320
192.168.18.4,192.168.18.1,60921
192.168.18.4,192.168.18.1,64938
192.168.18.4,104.20.36.228,60202
192.168.18.4,192.168.18.1,52508
192.168.18.4,192.168.18.1,59586
192.168.18.4,54.75.248.248,60727
192.168.18.4,54.75.248.248,63357
192.168.18.4,54.75.248.248,57040
192.168.18.4,188.65.124.90,63036
192.168.18.4,192.168.18.1,52150
192.168.18.4,192.168.18.1,64063
192.168.18.4,192.168.18.1,59985
192.168.18.4,192.168.18.1,57452
192.168.18.4,192.168.18.1,50838
192.168.18.4,192.168.18.1,52193
192.168.18.4,192.168.18.1,59797
192.168.18.4,192.168.18.1,60337
192.168.18.4,192.168.18.1,64026
192.168.18.4,192.168.18.1,55205
192.168.18.4,34.36.200.111,49560
192.168.18.4,34.242.135.91,52023
192.168.18.4,34.98.102.54,53061
192.168.18.4,192.168.18.1,57550
192.168.18.4,192.168.18.1,50704
192.168.18.4,192.168.18.1,53046
192.168.18.4,192.168.18.1,49561
192.168.18.4,34.15.6.101,50835
192.168.18.4,192.168.18.1,49975
192.168.18.4,192.168.18.1,65054
192.168.18.4,192.168.18.1,56435
192.168.18.4,192.168.18.1,57890
192.168.18.4,57.129.86.9,57269
192.168.18.4,192.168.18.1,59917
192.168.18.4,192.168.18.1,63987
192.168.18.4,142.251.17.94,50933
192.168.18.4,192.168.18.1,55059
192.168.18.4,192.168.18.1,65187
192.168.18.4,192.168.18.1,51757
192.168.18.4,192.168.18.1,53620
192.168.18.4,172.64.149.20,53621
192.168.18.4,192.168.18.1,56464
192.168.18.4,192.168.18.1,63002
192.168.18.4,192.168.18.1,49975
192.168.18.4,192.168.18.1,64954
192.168.18.4,192.168.18.1,62215
192.168.18.4,192.168.18.1,49562
192.168.18.4,172.66.0.227,54043
192.168.18.4,162.159.140.229,59310
192.168.18.4,192.168.18.1,49562
192.168.18.4,192.168.18.1,57514
192.168.18.4,172.64.148.197,59479
192.168.18.4,172.64.148.197,63640
192.168.18.4,192.168.18.1,51418
192.168.18.4,192.168.18.1,63389
192.168.18.4,192.168.18.1,58613
192.168.18.4,192.168.18.1,54221
192.168.18.4,151.101.2.146,51277
192.168.18.4,192.168.18.1,50636
192.168.18.4,192.168.18.1,49975
192.168.18.4,172.64.151.110,62237
192.168.18.4,192.168.18.1,50962
192.168.18.4,192.168.18.1,54471
192.168.18.4,172.64.150.129,49158
192.168.18.4,192.168.18.1,61901
192.168.18.4,192.168.18.1,57708
192.168.18.4,172.66.0.227,52194
192.168.18.4,172.66.0.227,55471
192.168.18.4,172.66.0.227,51002
192.168.18.4,192.168.18.1,61529
192.168.18.4,192.168.18.1,60676
192.168.18.4,104.244.43.131,62391
192.168.18.4,172.64.151.110,61026
192.168.18.4,104.18.38.236,61028
192.168.18.4,192.168.18.1,58861
192.168.18.4,192.168.18.1,62999
192.168.18.4,192.168.18.1,63393
192.168.18.4,192.168.18.1,53439
192.168.18.4,192.168.18.1,56429
192.168.18.4,192.168.18.1,55655
192.168.18.4,192.168.18.1,54263
192.168.18.4,192.168.18.1,51128
192.168.18.4,192.168.18.1,52931
192.168.18.4,192.168.18.1,53140
192.168.18.4,192.168.18.1,59613
192.168.18.4,192.168.18.1,54081
192.168.18.4,192.168.18.1,51682
192.168.18.4,192.168.18.1,51213
192.168.18.4,192.168.18.1,54050
192.168.18.4,192.168.18.1,55536
192.168.18.4,192.168.18.1,54673
192.168.18.4,192.168.18.1,60486
192.168.18.4,192.168.18.1,54133
192.168.18.4,192.168.18.1,51677
192.168.18.4,192.168.18.1,63326
192.168.18.4,192.168.18.1,65534
192.168.18.4,3.174.180.30,62765
192.168.18.4,18.154.56.111,50642
192.168.18.4,192.168.18.1,52695
192.168.18.4,192.168.18.1,61901
192.168.18.4,52.58.107.174,57402
192.168.18.4,192.168.18.1,54943
192.168.18.4,192.168.18.1,56884
192.168.18.4,192.168.18.1,53373
192.168.18.4,192.168.18.1,56002
192.168.18.4,192.168.18.1,60696
192.168.18.4,192.168.18.1,52422
192.168.18.4,192.168.18.1,56811
192.168.18.4,192.168.18.1,59781
192.168.18.4,192.168.18.1,65332
192.168.18.4,192.168.18.1,52769
192.168.18.4,192.168.18.1,65280
192.168.18.4,192.168.18.1,60604
192.168.18.4,18.154.29.32,56241
192.168.18.4,192.168.18.1,56279
192.168.18.4,192.168.18.1,51553
192.168.18.4,18.154.29.32,61497
192.168.18.4,192.168.18.1,57415
192.168.18.4,192.168.18.1,51131
192.168.18.4,18.154.29.81,58186
192.168.18.4,192.168.18.1,62066
192.168.18.4,192.168.18.1,55228
192.168.18.4,192.168.18.1,60486
192.168.18.4,192.168.18.1,63999
192.168.18.4,192.168.18.1,64437
192.168.18.4,192.168.18.1,64275
192.168.18.4,192.168.18.1,60087
192.168.18.4,192.168.18.1,55830
192.168.18.4,192.168.18.1,58221
192.168.18.4,192.168.18.1,61506
192.168.18.4,192.168.18.1,61824
192.168.18.4,192.168.18.1,55554
192.168.18.4,192.168.18.1,65166
192.168.18.4,192.168.18.1,50360
192.168.18.4,172.64.149.20,50361
192.168.18.4,192.168.18.1,65513
192.168.18.4,192.168.18.1,55537
192.168.18.4,192.168.18.1,56592
